Designator,Mid X,Mid Y,Layer,Rotation
D1,-88.075005mm,58.450005mm,Bottom,270.0
D2,-85.575005mm,58.450005mm,Bottom,270.0
D3,-80.075005mm,58.450005mm,Bottom,270.0
D4,-77.575005mm,58.600005mm,Bottom,270.0
F5,-79.075005mm,55.100005mm,Bottom,0.0
F6,-87.575005mm,55.100005mm,Bottom,0.0
F7,-95.575005mm,55.100005mm,Bottom,0.0
F8,-104.075005mm,55.100005mm,Bottom,0.0
F9,-112.075005mm,55.100005mm,Bottom,0.0
F10,-120.075005mm,55.100005mm,Bottom,0.0
R2,-127.575005mm,45.100005mm,Bottom,180.0
R3,-127.575005mm,46.600005mm,Bottom,0.0
R13,-111.575005mm,62.600005mm,Bottom,270.0
R14,-108.575005mm,62.600005mm,Bottom,270.0
R16,-86.075005mm,62.600005mm,Bottom,270.0
R17,-79.075005mm,53.100005mm,Bottom,180.0
R18,-87.575005mm,53.100005mm,Bottom,180.0
R19,-95.575005mm,53.100005mm,Bottom,180.0
R20,-79.575005mm,48.137505mm,Bottom,270.0
R21,-87.575005mm,48.062505mm,Bottom,270.0
R22,-95.575005mm,48.100005mm,Bottom,270.0
R23,-104.075005mm,53.100005mm,Bottom,180.0
R24,-112.075005mm,53.100005mm,Bottom,180.0
R25,-120.075005mm,53.100005mm,Bottom,180.0
R26,-104.075005mm,48.100005mm,Bottom,270.0
R27,-112.075005mm,48.100005mm,Bottom,270.0
R28,-120.270005mm,48.100005mm,Bottom,270.0
R29,-104.075005mm,62.600005mm,Bottom,270.0
R30,-98.075005mm,62.600005mm,Bottom,270.0
R31,-92.075005mm,62.600005mm,Bottom,270.0
R32,-101.075005mm,62.600005mm,Bottom,270.0
R33,-95.075005mm,62.600005mm,Bottom,270.0
R34,-89.075005mm,62.600005mm,Bottom,270.0
R35,-107.075005mm,62.600005mm,Bottom,270.0
R36,-110.075005mm,62.600005mm,Bottom,270.0
R37,-80.075005mm,62.600005mm,Bottom,270.0
R38,-83.075005mm,62.600005mm,Bottom,270.0
R39,-77.075005mm,62.600005mm,Bottom,270.0
R40,-140.575005mm,95.100005mm,Bottom,270.0
R41,-137.575005mm,95.100005mm,Bottom,270.0
R42,-81.575005mm,62.600005mm,Bottom,270.0
R43,-78.575005mm,62.600005mm,Bottom,270.0
R44,-87.575005mm,62.600005mm,Bottom,270.0
R45,-84.575005mm,62.600005mm,Bottom,270.0
R46,-105.575005mm,62.600005mm,Bottom,270.0
R47,-102.575005mm,62.600005mm,Bottom,270.0
R48,-99.575005mm,62.600005mm,Bottom,270.0
R49,-96.575005mm,62.600005mm,Bottom,270.0
R50,-93.575005mm,62.600005mm,Bottom,270.0
C1,56.990001mm,95.550014mm,Top,0.0
C2,56.990001mm,93.600029mm,Top,0.0
C3,56.990001mm,91.650044mm,Top,0.0
C4,56.990001mm,89.700059mm,Top,0.0
C5,56.990001mm,87.750074mm,Top,0.0
D5,11.075005mm,36.100005mm,Top,270.0
D6,127.575005mm,53.100005mm,Top,270.0
F1,132.575005mm,46.600005mm,Top,90.0
F2,130.075005mm,46.600005mm,Top,90.0
F3,47.575005mm,68.100005mm,Top,0.0
J1,39.8mm,92.375mm,Top,0.0
J2,41.25mm,78.65mm,Top,0.0
L1,127.075005mm,45.100005mm,Top,90.0
L2,125.075005mm,45.100005mm,Top,90.0
P1,14.498mm,77.482mm,Top,0.0
P2,14.45mm,77.365mm,Top,0.0
Q1,79.295005mm,49.035005mm,Top,90.0
Q2,87.490005mm,49.035005mm,Top,90.0
Q3,95.685005mm,49.035005mm,Top,90.0
Q4,103.880005mm,49.035005mm,Top,90.0
Q5,112.075005mm,49.035005mm,Top,90.0
Q6,120.270005mm,49.035005mm,Top,90.0
Q7,20.075005mm,42.600005mm,Top,90.0
R1,53.575005mm,49.100005mm,Top,270.0
R4,110.575005mm,94.050006mm,Top,90.0
R5,67.075005mm,61.400005mm,Top,90.0
R6,69.075005mm,61.400005mm,Top,90.0
R7,59.075005mm,61.600005mm,Top,180.0
R8,59.075005mm,64.600005mm,Top,180.0
R9,59.075005mm,67.600005mm,Top,180.0
R10,62.575005mm,61.600005mm,Top,180.0
R11,62.575005mm,64.600005mm,Top,180.0
R12,62.575005mm,67.600005mm,Top,180.0
R15,20.075005mm,46.600005mm,Top,180.0
U1,43.24mm,85.525mm,Top,0.0
U2,62.93mm,93.145mm,Top,270.0
U3,86.575005mm,60.600005mm,Top,180.0
U4,107.575005mm,60.600005mm,Top,180.0
U5,101.075005mm,60.600005mm,Top,180.0
U6,93.940005mm,60.600005mm,Top,180.0
U7,114.980005mm,60.600005mm,Top,180.0
U8,124.575005mm,61.600005mm,Top,0.0
D415,114.875003mm,72.500008mm,Bottom,90.0
R428,113.89060300000001mm,85.94550799999999mm,Bottom,270.0
R427,127.02500300000001mm,87.30000799999999mm,Bottom,180.0
R426,115.49920300000001mm,86.940108mm,Top,90.0
R425,116.807303mm,79.825008mm,Top,270.0
R424,116.807303mm,77.527908mm,Top,90.0
LED4,128.566903mm,88.188908mm,Top,90.0
LED3,115.49920300000001mm,84.790808mm,Top,270.0
LED2,115.72590300000002mm,79.80000799999999mm,Top,270.0
LED1,115.72590300000002mm,77.552908mm,Top,90.0
R422,122.716603mm,88.30000799999999mm,Bottom,0.0
C426,116.485003mm,82.900008mm,Top,180.0
C425,119.175003mm,82.900008mm,Top,0.0
F410,122.01800300000001mm,74.633208mm,Top,180.0
C415,116.85160300000001mm,88.600008mm,Bottom,180.0
C414,117.826603mm,79.090008mm,Bottom,0.0
U411,119.25280300000001mm,83.950008mm,Bottom,270.0
D410,126.375003mm,74.933208mm,Bottom,0.0
R411,126.27660300000001mm,72.033208mm,Bottom,90.0
D417,123.626603mm,71.80000799999999mm,Bottom,0.0
C410,118.38200300000001mm,73.74000799999999mm,Bottom,0.0
D412,122.72500300000002mm,71.183208mm,Top,0.0
R410,125.501603mm,71.150008mm,Top,180.0
D413,122.72500300000002mm,72.808208mm,Top,0.0
C411,123.65160300000001mm,73.600008mm,Bottom,180.0
R413,123.65160300000001mm,75.133208mm,Bottom,180.0
D414,126.175003mm,73.600008mm,Bottom,180.0
D418,122.44500300000001mm,78.80000799999999mm,Top,180.0
D416,117.57340300000001mm,74.70630799999999mm,Top,0.0
U410,117.97660300000001mm,72.100008mm,Top,0.0
C412,118.38200300000001mm,71.700008mm,Bottom,0.0
C413,120.35160300000001mm,72.53710799999999mm,Top,270.0
D411,126.02660300000001mm,73.608508mm,Top,180.0
U420,125.111603mm,82.708208mm,Bottom,0.0
R420,121.00160300000002mm,74.283108mm,Bottom,270.0
C429,122.81660300000001mm,87.30000799999999mm,Bottom,180.0
C427,122.09530300000002mm,74.098108mm,Bottom,90.0
C428,125.00570300000001mm,87.30000799999999mm,Bottom,0.0
C423,124.178403mm,77.208208mm,Bottom,270.0
C421,122.98680300000001mm,77.208208mm,Bottom,270.0
C422,121.795303mm,77.208208mm,Bottom,270.0
C424,125.375003mm,77.208208mm,Bottom,90.0
R421,121.620303mm,78.97000799999999mm,Bottom,180.0
R423,124.90570300000002mm,88.30000799999999mm,Bottom,0.0
D420,123.375003mm,89.30000799999999mm,Top,180.0
C420,126.425003mm,76.80000799999999mm,Bottom,90.0
L420,118.47500300000002mm,76.900008mm,Bottom,0.0
D421,118.125003mm,87.260808mm,Top,90.0
L421,123.875003mm,84.700008mm,Top,180.0
C474,50.303605mm,45.190004mm,Bottom,270.0
R470,46.650005mm,44.275004mm,Bottom,180.0
U471,51.685005mm,45.222004mm,Top,180.0
R474,52.550005mm,45.189604mm,Bottom,180.0
R473,51.290405mm,44.725004mm,Bottom,270.0
R472,48.775005mm,44.275004mm,Bottom,180.0
C473,52.650005mm,46.175004mm,Bottom,180.0
C472,52.650005mm,44.325004mm,Bottom,0.0
U470,47.710004999999995mm,45.222004mm,Top,180.0
R471,46.650005mm,45.175004mm,Bottom,0.0
C471,46.700005mm,46.175004mm,Bottom,0.0
C470,48.825005mm,46.175004mm,Bottom,180.0
C752,70.500005mm,57.375005mm,Bottom,270.0
C753,72.425005mm,57.350005mm,Bottom,90.0
C755,67.300005mm,55.350005mm,Bottom,90.0
C756,67.300005mm,53.215005000000005mm,Bottom,90.0
C757,68.250005mm,53.215005000000005mm,Bottom,90.0
C760,74.000005mm,48.025005mm,Bottom,0.0
C761,66.410005mm,45.075005000000004mm,Bottom,270.0
C762,72.164616mm,48.021442mm,Bottom,180.0
C764,67.300005mm,57.170005mm,Bottom,270.0
C766,66.37000499999999mm,57.220005mm,Bottom,270.0
R752,72.05100499999999mm,45.784258mm,Bottom,90.0
R753,73.975005mm,45.784258mm,Bottom,270.0
R754,68.250005mm,57.275005mm,Bottom,270.0
R757,69.20000499999999mm,57.225005mm,Bottom,90.0
R760,71.475005mm,57.350005mm,Bottom,90.0
R761,68.250005mm,55.400005mm,Bottom,270.0
R762,69.20000499999999mm,55.325005000000004mm,Bottom,270.0
R763,74.51000499999999mm,57.235005mm,Bottom,90.0
R765,66.37000499999999mm,53.215005000000005mm,Bottom,270.0
R766,69.19993199999999mm,53.22792mm,Bottom,270.0
U752,67.600005mm,50.225005mm,Bottom,90.0
U753,72.45000499999999mm,52.440722mm,Bottom,0.0
U757,68.679221mm,46.125005mm,Bottom,90.0
C751,73.100005mm,49.200005000000004mm,Top,0.0
C754,74.080005mm,52.775005mm,Top,180.0
C758,74.080005mm,55.075005000000004mm,Top,0.0
C759,72.08841199999999mm,52.775005mm,Top,180.0
C763,70.850005mm,45.075005000000004mm,Top,270.0
C765,69.03000499999999mm,48.235005mm,Top,90.0
C767,72.08841199999999mm,55.075005000000004mm,Top,180.0
C768,67.78000499999999mm,50.465005000000005mm,Top,180.0
C769,71.500005mm,57.565005mm,Top,270.0
D751,69.610005mm,45.515005mm,Top,90.0
R751,68.000005mm,45.375005mm,Top,270.0
R755,71.70000499999999mm,49.715005000000005mm,Top,270.0
